th,en
และคุณควรวัดอุณหภูมิร่างกายทุกวันจนครบ 14 วันนับจากวันแรกที่กลับสู่ประเทศไทย หากคุณมีไข้ และ ไอ ติดต่อเบอร์ 1422,"And measure body temperature daily until 14 days have elapsed after traveling to Thailand During the symptom observation, if there is a fever, cough, report 1422."
อาการเบื้องต้นของ Covid-19 คือ ไข้ ไอแห้ง และหอบ,"The most common symptoms of COVID-19 are fever, a dry cough, and shortness of breath. "
อาการอาจเกิดขึ้นในช่วงเวลา 2-14 วันหลังจากได้รับเชื้อ,These symptoms may appear 2-14 days after exposure.
โทรปรึกษาแพทย์ หากคุณคิดว่าคุณได้รับเชื้อ Covid-19 และเริ่มมีไข้ ไอ และหายใจลำบาก,"Call your doctor: If you think you have been exposed to COVID-19 and develop a fever and symptoms, such as cough or difficulty breathing, "
โทรปรึกษากับผู้เชียวชาญทางด้านสาธารณสุขเพื่อขอคำแนะนำในการรักษา,call your healthcare provider for medical advice.
หากคุณมีอากา Covid-19 ขั้นรุนแรง กรุณาพบแพทย์โดยทันที,If you develop emergency warning signs for COVID-19 get medical attention immediately. 
สัญญาณเตือนขั้นรุนแรงได้แก่,Emergency warning signs include: 
หายใจลำบากและหอบหืด,Difficulty breathing or shortness of breath
เจ็บ ปวด หรือ รู้สึกเหมือนถูกทับบริเวณหน้าอก,Persistent pain or pressure in the chest
สับสน หรือ ขาดการตื่นตัว,New confusion or inability to arouse
ปากหรือหน้าแดง,Bluish lips or face
หากต้องการข้อมูลเพิ่มเติม ดูที่ https://ibm.biz/BdqfkZ,"For more information, visit:  https://ibm.biz/BdqfkZ"
พบข้อมูลการเตือนเกี่ยวกับ Covid-19 ได้ที่นี่,Find our Covid-19 alert document: click here to find our more
อาการหอบหมายถึงอาการหายใจลำบาก มาโยคลินิคได้อธิบายไว้ที่นี่,Shortness of breath refers to difficulty breathing. The Mayo clinic has a definition here.
ปฏิบัติตามข้อกำหนดของรัฐหรือผู้มีอำนาจสั่งการ,Listen to and follow the directions of your state and local authorities.
ผู้ป่วย Covid-19 จำนวนไม่มากที่จำเป็นต้องนอนโรงพยาบาล,Not all patients with COVID-19 require hospital admission. 
ผู้ป่วยที่โรงพยาบาลระบุว่าจำเป็นต้องนอนโรงพยาบาลเพื่อใช้บริการทางการแพทย์ควรได้รับการดูแลและแยกห่างจากผู้อื่นอย่างระมัดระวัง,Patients whose clinical presentation warrants in-patient clinical management for supportive medical care should be admitted to the hospital under appropriate isolation precautions.
การตัดสินใจว่าผู้ใดควรนอนโรงพยาบาลต้องดูเป็นกรณี ๆ ไป,The decision to monitor these patients in the inpatient or outpatient setting should be made on a case-by-case basis. 
เงื่อนไขการตัดสินใจไม่ได้จำกัดอยู่เพียงแต่ทางด้านการรักษา แต่ยังรวมถึงความสามารถในการดูแลตัวเอง ความสามารถในการกักกันตัวเอง และความเสี่ยงในการแพร่ระบาดในย่านที่พักของผู้ป่วย,"This decision will depend not only on the clinical presentation, but also on the patient’s ability to engage in self-monitoring, the feasibility of safe isolation at home, and the risk of transmission in the patient’s home environment."
สำหรับข้อมูลเพิ่มเติม ดูได้ที่นี่ หรือ ที่นี่,For more information visit here or here.
หากคุณมีไข้ ไอ หรือหายใจลำบาก กรุณาติดต่อบริการสาธารณะสุขใกล้บ้านคุณ,"If you have fever, cough, or shortness of breath, call your healthcare provider. "
เขาอาจบอกวิธีการดูแลตัวเองจากที่บ้าน ในกรณีดังกล่าว แนะนำให้ทำดังต่อไปนี้,"They may tell you to manage your care from home. If so, follow these tips."
หากคุณมีอาการบ่งบอกถึงอันตรายของ Covid-19 ดังต่อไปนี้ ให้รีบเข้ารับการรักษาโดยทันที,If you develop emergency warning signs for COVID-19 get medical attention immediately. Emergency warning signs include*:
รายการดังกล่าวเป็นเพียงตัวอย่าง กรุณาปรึกษาบริการสาธารณะสุขใกล้บ้านคุณหากมีข้อสงสัยเพิ่มเติม,This list is not all inclusive. Please consult your medical provider for any other symptoms that are severe or concerning.
สามารถหาข้อมูลเกี่ยวกับการดูแลตัวเองที่บ้านได้ที่นี่,"For more information on caring for yourself at home, visit here."
กรณีศึกษา,CASE STUDY
ครอบครัว ผู้อยู่อาศัย และแขก ได้เข้าพักในพื้นที่เสี่ยงสูงภายในประเทศไทยในวันที่ 28 กุมภาพันธ์ 2020,"Family member/resident/visitor arrives in Thailand on Feb 28th, 2020, from a high-risk country/area."
ครอบครัว ผู้อยู่อาศัย และแขก ซึ่งได้เดินทางไปยังพื้นที่เสี่ยงสูง รวมถึงบุตรหลานที่ไม่ได้เดินทางด้วยต้องถูกกักบริเวณ 14 วัน,"Family member/resident/visitor who had travelled to high-risk country/area, and child (did not travel) both need to be quarantined for 14 days, "
แม้ว่าไม่มีใครได้รับผลตรวจ Covid-19 เป็นบวก,even though no one has tested positive for COVID-19. 
วันที่ 28 กุมภาพันธ์ 2020 นับเป็นวันแรกของการกักบริเวณ,"Feb 28th, 2020 is counted as the first day of quarantine. "
การเดินทางระหว่างประเทศ,International travellers
อนุญาตให้เฉพาะผู้มี Passport ถูกต้องเท่านั้นถึงจะเข้าไปยังที่พักผู้โดยสารระหว่างประเทศ,Only travellers with a valid passport will be able to access the international terminal.
เพื่อให้การเว้นระยะห่างเป็นไปอย่างมีประสิทธิภาพ เราจำเป็นต้องขอให้ผู้เดินทางทุกท่านมาถึงก่อนเวลาเดินทาง 3 ชั่วโมง,To help with social distancing requirements we also request that travellers only arrive three hours before their flight.
การเดินทางภายในประเทศ,Domestic travellers
การเดินทางภายในประเทศยังสามารถทำได้ตามปกติ อย่างไรก็ตาม ทางรัฐบาลขอความร่วมมือในการลดการเดินทางที่ไม่จำเป็นลง,The domestic terminal is still open however; the Government has asked to limit all non-essential domestic travel
ขอความร่วมมือให้ทุกท่านลดการเดินทางไปยังพื้นที่อื่น ๆ ภายในประเทศยกเว้นแต่หากมีเหตุจำเป็น,People are encouraged not to visit different parts of the country unless it’s for an essential reason.
ใช่ หากมีใครเดินทางผ่านสนามบินในพื้นที่หรือประเทศที่มีความเสี่ยงสูง ท่านจำเป็นต้องได้ถูกกักตัวเป็นระยะเวลา 14 วันในประเทศไทย,Yes. A person who had made transits in airports located in high-risk countries/areas will need to be quarantined for 14 days upon arrival in Thailand. 
CDC แนะนำให้ล้างมือด้วยสบู่เป็นระยะเวลาไม่น้อยกว่า 20 วินาที และควรทำความสะอาดบริเวณใต้เล็บด้วย หลังจากนั้นควรทำให้แห้งโดยใช้ผ้าสะอาดหรือเครื่องเป่ามือ,"The CDC recommends washing your hands with soap and water for at least 20 seconds, being sure to scrub all around and under fingernails, and finally drying with an air dryer or clean towel.   "
หากคุณไม่มีสบู่หรือน้ำ คุณสามารถใช้แอลกอฮอลเจลสำหรับทำความสะอาดมือที่มีความเข้มข้นไม่ต่ำกว่า 60%,"If you do not have access to soap or running water, you can use a hand sanitizer with at least 60% alcohol concentration. "
คุณสามารถหาข้อมูลเพิ่มเติมเกี่ยวกับการล้างมือจาก CDC ได้ที่นี่,You can find more information on the CDC's hand-washing recommendations here.
ปกป้องตัวเอง,Protect yourself. 
ล้างมือบ่อย ๆ,Clean your hands regularly. 
ล้างมือด้วยสบู่และน้ำและทำให้แห้ง คลิกที่นี่เพื่ออ่านเพิ่มเติม,"Wash your hands with soap and water, and dry them thoroughly: click here to find our more"
ไวรัสโคโรนาเป็นไวรัสตระกูลใหญ่ บางครั้งอาจติดไปยังสัตว์เช่นอูฐ แมว และ ค้างคาว,"Coronaviruses are a large family of viruses, some causing illness in people and others circulating among animals, including camels, cats and bats."
เชื้อไวรัสโคโรนา 2019 (2019) เป็นเชื้อไรวัสใหม่ที่ทำให้เกินอาการป่วยในทางเดินหายใจ สามารถแพร่ระบาดระหว่างคนถึงคน,The 2019 novel coronavirus (COVID-19) is a new virus that causes respiratory illness in people and can spread from person-to-person. 
ไวรัสถูกค้นพบครั้งแรกที่เหมือนอู่ฮั่นประเทศจีน,"This virus was first identified during an investigation into an outbreak in Wuhan, China."
ชื่อของโรคเรียกว่าโรคโคโรนา 2019 หรือเรียกสั้น ๆ ว่า Covid-19,"The name of this disease is coronavirus disease 2019, abbreviated as COVID-19"
ใน Covid-19 นั้น Co มาจากคำว่า Corona Vi มาจากคำว่า Virus และ D มาจากคำว่าโรคระบาด,"In COVID-19, ‘CO’ stands for ‘corona,’ ‘VI’ for ‘virus,’ and ‘D’ for disease."
ก่อนหน้านี้ โรคนี้ถูกเรียกว่า เชื้อไวรัสโคโรน่า 2019 หรือ 2019-nCov,"Formerly, this disease was referred to as “2019 novel coronavirus” or “2019-nCoV.”"
เชื่อว่าเชื้อ Covid-19 นั้นติดระหว่างคนถึงคน ดังนั้นการเว้นระยะห่างระหว่างบุคคลจึงเป็นเรื่องสำคัญสำหรับการป้องกันตนเองจากการติดเชื้อไวรัส,"Covid-19 is thought to spread mainly through person to person transmission, so it's important to distance yourself from others as much as possible to prevent getting the virus.  "
ยิ่งกว่านั้น คุณยังควรล้างมือบ่อย ๆ และ หลีกเลี่ยงจากการสัมผัสใบหน้าให้มากที่สุด,"Additionally, you should wash your hands often and avoid touching your face as much as possible. "
สำหรับข้อมูลเพิ่มเติม อ่านได้ที่คำแนะนำในการปกป้องตนเองและผู้อื่นของ CDC,"For more information, check out the CDC's guide to protecting yourself and others."
วิธีการป้องกันที่ดีที่สุดสำหรับตัวคุณ ครอบครัว และเพื่อนฝูง จากไวรัส คือการล้างมืออย่างน้อย 20 วินาทีด้วยสบู่และน้ำ จากนั้นทำให้มือแห้งทันที,"The best way to protect yourself, family, friends and colleagues from germs and viruses is to wash your hands for 20 seconds with soap and water and dry them well."
ดังนั้น เมื่อใดก็ตาที่คุณทำงานที่บ้าน,"So, whether you’re at work or at home"
ทำมือให้เปียกด้วยน้ำ ใช้น้ำอุ่นหากเป็นไปได้,Wet your hands under clean running water. Use warm water if available.
ถูมือด้วยสบู่เป็นเวลาไม่ต่ำกว่า 20 วินาที สบู่เหลวจะมีประสิทธิภาพดีที่สุด,Put soap on your hands and wash for 20 seconds. Liquid soap is best
ถูมือจนกว่าจะมีฟอง,Rub hands together until the soap makes bubbles.
ถูทั้งสองด้านของทั้งสองมือ,Rub on both sides of both hands
